  9809     SPring-8 14b2 
 Cu-K_Cu-foil_S  14.06.25 17:41 - 14.06.25 17:45
 Cu-foil                                                                         
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 26.09900 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4577
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       26.00000  21.10000    -0.001070       0.05      4577
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   134.300   117.200
  25.73999  25.73901     0.050      1742      7881
  25.73892  25.73781     0.050      1742      7885
  25.73785  25.73662     0.050      1747      7899
  25.73678  25.73545     0.050      1744      7891
  25.73571  25.73435     0.050      1742      7879
  25.73464  25.73330     0.050      1747      7912
  25.73357  25.73232     0.050      1751      7927
  25.73250  25.73141     0.050      1747      7906
  25.73143  25.73046     0.050      1746      7909
  25.73036  25.72943     0.050      1752      7930
  25.72929  25.72826     0.050      1747      7913
  25.72822  25.72706     0.050      1748      7915
  25.72715  25.72588     0.050      1753      7940
  25.72608  25.72473     0.050      1752      7938
  25.72501  25.72365     0.050      1748      7925
  25.72394  25.72265     0.050      1755      7958
  25.72287  25.72172     0.050      1756      7963
  25.72180  25.72078     0.050      1755      7949
  25.72073  25.71979     0.050      1754      7948
  25.71966  25.71866     0.050      1759      7977
  25.71859  25.71747     0.050      1754      7959
  25.71752  25.71628     0.050      1750      7950
  25.71645  25.71512     0.050      1761      7983
  25.71538  25.71404     0.050      1759      7981
  25.71431  25.71301     0.050      1757      7977
  25.71324  25.71207     0.050      1759      7985
  25.71217  25.71115     0.050      1759      7989
  25.71110  25.71019     0.050      1756      7978
  25.71003  25.70913     0.050      1758      7987
  25.70896  25.70794     0.050      1764      8012
  25.70789  25.70675     0.050      1759      7993
  25.70682  25.70558     0.050      1757      7990
  25.70575  25.70447     0.050      1765      8021
  25.70468  25.70341     0.050      1761      8006
  25.70361  25.70244     0.050      1758      7990
  25.70254  25.70152     0.050      1757      7995
  25.70147  25.70058     0.050      1762      8011
  25.70040  25.69957     0.050      1758      7993
  25.69933  25.69841     0.050      1761      8012
  25.69826  25.69721     0.050      1763      8019
  25.69719  25.69602     0.050      1763      8025
  25.69612  25.69486     0.050      1759      8012
  25.69505  25.69378     0.050      1770      8050
  25.69398  25.69276     0.050      1766      8043
  25.69291  25.69183     0.050      1764      8025
  25.69184  25.69091     0.050      1763      8032
  25.69077  25.68994     0.050      1770      8059
  25.68970  25.68884     0.050      1766      8043
  25.68863  25.68765     0.050      1766      8045
  25.68756  25.68647     0.050      1770      8064
  25.68649  25.68530     0.050      1768      8050
  25.68542  25.68421     0.050      1765      8046
  25.68435  25.68317     0.050      1770      8078
  25.68328  25.68222     0.050      1770      8074
  25.68221  25.68130     0.050      1767      8058
  25.68114  25.68035     0.050      1767      8072
  25.68007  25.67931     0.050      1771      8077
  25.67900  25.67814     0.050      1768      8067
  25.67793  25.67694     0.050      1769      8067
  25.67686  25.67576     0.050      1770      8072
  25.67579  25.67463     0.050      1771      8080
  25.67472  25.67357     0.050      1770      8076
  25.67365  25.67258     0.050      1771      8086
  25.67258  25.67166     0.050      1771      8086
  25.67151  25.67072     0.050      1765      8065
  25.67044  25.66972     0.050      1770      8088
  25.66937  25.66858     0.050      1773      8097
  25.66830  25.66736     0.050      1769      8087
  25.66723  25.66615     0.050      1774      8098
  25.66616  25.66497     0.050      1778      8126
  25.66509  25.66387     0.050      1780      8137
  25.66402  25.66283     0.050      1780      8132
  25.66295  25.66189     0.050      1785      8166
  25.66188  25.66096     0.050      1781      8151
  25.66081  25.65998     0.050      1783      8163
  25.65974  25.65888     0.050      1784      8161
  25.65867  25.65768     0.050      1791      8185
  25.65760  25.65649     0.050      1785      8170
  25.65653  25.65531     0.050      1787      8185
  25.65546  25.65421     0.050      1791      8198
  25.65439  25.65317     0.050      1790      8195
  25.65332  25.65221     0.050      1786      8184
  25.65225  25.65129     0.050      1790      8200
  25.65118  25.65033     0.050      1793      8215
  25.65011  25.64928     0.050      1795      8210
  25.64904  25.64809     0.050      1794      8218
  25.64797  25.64689     0.050      1796      8227
  25.64690  25.64571     0.050      1793      8226
  25.64583  25.64457     0.050      1795      8227
  25.64476  25.64350     0.050      1798      8245
  25.64369  25.64251     0.050      1796      8237
  25.64262  25.64158     0.050      1796      8237
  25.64155  25.64063     0.050      1800      8259
  25.64048  25.63963     0.050      1799      8259
  25.63941  25.63848     0.050      1799      8247
  25.63834  25.63727     0.050      1799      8263
  25.63727  25.63608     0.050      1802      8267
  25.63620  25.63492     0.050      1802      8269
  25.63513  25.63384     0.050      1802      8269
  25.63406  25.63282     0.050      1803      8279
  25.63299  25.63189     0.050      1802      8278
  25.63192  25.63097     0.050      1799      8265
  25.63085  25.62999     0.050      1807      8300
  25.62978  25.62890     0.050      1805      8298
  25.62871  25.62771     0.050      1803      8284
  25.62764  25.62652     0.050      1804      8298
  25.62657  25.62534     0.050      1810      8316
  25.62550  25.62424     0.050      1810      8319
  25.62443  25.62319     0.050      1809      8319
  25.62336  25.62223     0.050      1814      8331
  25.62229  25.62130     0.050      1808      8320
  25.62122  25.62035     0.050      1809      8316
  25.62015  25.61930     0.050      1817      8353
  25.61908  25.61811     0.050      1812      8335
  25.61801  25.61692     0.050      1814      8344
  25.61694  25.61574     0.050      1816      8354
  25.61587  25.61460     0.050      1816      8361
  25.61480  25.61353     0.050      1816      8358
  25.61373  25.61253     0.050      1817      8364
  25.61266  25.61161     0.050      1821      8387
  25.61159  25.61066     0.050      1816      8364
  25.61052  25.60965     0.050      1819      8378
  25.60945  25.60851     0.050      1819      8381
  25.60838  25.60730     0.050      1823      8399
  25.60731  25.60612     0.050      1817      8376
  25.60624  25.60496     0.050      1826      8416
  25.60517  25.60388     0.050      1824      8412
  25.60410  25.60285     0.050      1821      8396
  25.60303  25.60192     0.050      1823      8406
  25.60196  25.60100     0.050      1824      8413
  25.60089  25.60003     0.050      1825      8419
  25.59982  25.59894     0.050      1822      8407
  25.59875  25.59774     0.050      1829      8441
  25.59768  25.59655     0.050      1826      8428
  25.59661  25.59538     0.050      1826      8423
  25.59554  25.59426     0.050      1827      8437
  25.59447  25.59321     0.050      1833      8459
  25.59340  25.59225     0.050      1827      8440
  25.59233  25.59133     0.050      1829      8449
  25.59126  25.59037     0.050      1834      8474
  25.59019  25.58933     0.050      1832      8467
  25.58912  25.58815     0.050      1828      8444
  25.58805  25.58695     0.050      1835      8478
  25.58698  25.58577     0.050      1834      8477
  25.58591  25.58463     0.050      1829      8457
  25.58484  25.58355     0.050      1839      8488
  25.58377  25.58255     0.050      1840      8506
  25.58270  25.58163     0.050      1832      8475
  25.58163  25.58069     0.050      1834      8485
  25.58056  25.57968     0.050      1840      8511
  25.57949  25.57854     0.050      1838      8509
  25.57842  25.57734     0.050      1835      8490
  25.57735  25.57615     0.050      1840      8511
  25.57628  25.57500     0.050      1843      8527
  25.57521  25.57391     0.050      1839      8517
  25.57414  25.57289     0.050      1842      8525
  25.57307  25.57195     0.050      1845      8550
  25.57200  25.57103     0.050      1841      8529
  25.57093  25.57006     0.050      1843      8529
  25.56986  25.56897     0.050      1847      8559
  25.56879  25.56777     0.050      1845      8550
  25.56772  25.56657     0.050      1842      8541
  25.56665  25.56540     0.050      1853      8579
  25.56558  25.56429     0.050      1852      8576
  25.56451  25.56323     0.050      1846      8559
  25.56344  25.56226     0.050      1850      8575
  25.56237  25.56134     0.050      1855      8601
  25.56130  25.56039     0.050      1851      8590
  25.56023  25.55934     0.050      1851      8586
  25.55916  25.55816     0.050      1853      8599
  25.55809  25.55697     0.050      1854      8598
  25.55702  25.55578     0.050      1849      8583
