  9809     SPring-8 14b2 
 Pb-L21_PbTe_Si  21.02.10 08:03 - 21.02.10 08:09
 PbTe                                                                            
 Ring :   8.0 GeV    99.6 mA -   99.6 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 14.92483 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 6727
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       14.74500  12.58000    -0.000330       0.05      6727
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3         4
      Mode         0         0         1         2         3
    Offset         0         0   229.200   251.100   177.000
  14.69121  14.69851     0.050     29902     26173      3338
  14.69088  14.69839     0.050     29901     26198      3336
  14.69055  14.69827     0.050     29905     26192      3337
  14.69022  14.69817     0.050     29918     26198      3340
  14.68989  14.69807     0.050     29885     26176      3336
  14.68956  14.69795     0.050     29884     26182      3339
  14.68923  14.69785     0.050     29930     26223      3341
  14.68890  14.69777     0.050     29891     26199      3338
  14.68857  14.69766     0.050     29875     26181      3336
  14.68824  14.69756     0.050     29892     26179      3339
  14.68791  14.69748     0.050     29929     26220      3342
  14.68758  14.69739     0.050     29873     26183      3339
  14.68725  14.69729     0.050     29886     26197      3340
  14.68692  14.69721     0.050     29919     26213      3345
  14.68659  14.69712     0.050     29884     26191      3341
  14.68626  14.69702     0.050     29895     26208      3341
  14.68593  14.69693     0.050     29922     26220      3344
  14.68560  14.69685     0.050     29896     26196      3340
  14.68527  14.69675     0.050     29904     26214      3342
  14.68494  14.69665     0.050     29899     26206      3344
  14.68461  14.69656     0.050     29918     26227      3347
  14.68428  14.69647     0.050     29896     26214      3341
  14.68395  14.69636     0.050     29903     26219      3345
  14.68362  14.69627     0.050     29924     26221      3343
  14.68329  14.69618     0.050     29892     26207      3345
  14.68296  14.69608     0.050     29904     26220      3342
  14.68263  14.69599     0.050     29911     26228      3345
  14.68230  14.69590     0.050     29904     26214      3346
  14.68197  14.69581     0.050     29877     26197      3343
  14.68164  14.69571     0.050     29932     26236      3347
  14.68131  14.69564     0.050     29901     26220      3345
  14.68098  14.69555     0.050     29881     26198      3341
  14.68065  14.69546     0.050     29908     26216      3348
  14.68032  14.69539     0.050     29904     26228      3345
  14.67999  14.69531     0.050     29876     26208      3345
  14.67966  14.69519     0.050     29907     26224      3349
  14.67933  14.69504     0.050     29909     26243      3351
  14.67900  14.69487     0.050     29901     26215      3349
  14.67867  14.69466     0.050     29899     26230      3347
