key	value
@local@xafs_processed_data_format_0@columns_1@formula	math.log(columns[3]/columns[4])
@local@xafs_processed_data_format_0@columns_1@input@columns	xafs_raw_data_format[0].columns
@local@xafs_processed_data_format_1@extension	txt
@local@xafs_processed_data_format_1@format	Athena
@local@xafs_processed_data_format_1@columns_0@name	photon energy
@local@xafs_processed_data_format_1@columns_0@unit	eV
@local@xafs_processed_data_format_1@columns_0@formula	12398/(2*D*math.sin(columns[1]))
@local@xafs_processed_data_format_1@columns_0@input@columns	xafs_raw_data_format[0].columns
@local@xafs_processed_data_format_1@columns_0@input@D	xafs_raw_data_format[0].parameter.D
@local@xafs_processed_data_format_1@columns_1@name	absorption coefficient mu*t
@local@xafs_processed_data_format_1@columns_1@formula	math.log(columns[3]/columns[4])
@local@xafs_processed_data_format_1@columns_1@input@columns	xafs_raw_data_format[0].columns
@local@xafs_raw_data_format_0@extension	dat
@local@xafs_raw_data_format_0@format	PF9809
@local@xafs_raw_data_format_0@parameter@D	monochrometer distance
@local@xafs_raw_data_format_0@columns_0@name	monochrometer angle (setting value of PC)
@local@xafs_raw_data_format_0@columns_0@unit	deg
@local@xafs_raw_data_format_0@columns_1@name	monochrometer angle (encoder value)
@local@xafs_raw_data_format_0@columns_1@unit	deg
@local@xafs_raw_data_format_0@columns_2@name	dwell time
@local@xafs_raw_data_format_0@columns_2@unit	sec
@local@xafs_raw_data_format_0@columns_3@name	intensity I0
@local@xafs_raw_data_format_0@columns_3@unit	count
@local@xafs_raw_data_format_0@columns_4@name	intensity I1
@local@xafs_raw_data_format_0@columns_4@unit	count
@local@xafs_raw_data_format_0@columns_5@name	intensity I2
@local@xafs_raw_data_format_0@columns_5@unit	count
